title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Mobile App Development,Unimonks,Delhi,3 Months," 3,000-8,000 /month",Hiring since June 2022,84 opportunities posted,"Certificate,Letter of recommendation",Android,1
Telemarketing,Canoe Consulting Services,Kolkata,6 Months," 10,000 /month",Hiring since May 2019,18 opportunities posted,Job offer,"Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Office",1
Subject Matter Expert (SME) (Social Science),Curiosity Edutech Solutions Private Limited,Work From Home,2 Months," 10,000-15,000 /month",Hiring since April 2021,16 opportunities posted,Flexible work hours,"English Proficiency (Spoken),English Proficiency (Written),MS-Word,Search Engine Optimization (SEO),Subject Matter Expert (SME)",20
Search Engine Optimization (SEO)/Content Writing,Physics Wallah,Work From Home,3 Months," 12,000-15,000 /month",Hiring since March 2021,167 opportunities posted,"Certificate,Job offer","Content Writing,Search Engine Optimization (SEO)",20
Video Editing,MiWHealth Infotech Private Limited,Work From Home,3 Months," 5,000-8,000 /month",Hiring since May 2022,7 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,5
Customer Care,ReleaseMyAd,Kolkata,6 Months," 12,000 /month",Hiring since November 2018,117 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),Hindi Proficiency (Written),MS-Office",1
Social Media Marketing,Mye Calorie Counts,Delhi,2 Months," 2,000 /month",Hiring since May 2020,17 opportunities posted,"Certificate,Letter of recommendation","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",2
Video Making/Editing,GetsetflyMedia,Mumbai,6 Months," 8,000-10,000 /month",Hiring since September 2021,31 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Video Editing",5
Human Resources (HR),Drone Destination,Delhi,3 Months," 10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Architecture,Nuway Interiors,Hyderabad,6 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Job offer","3ds Max,AutoCAD,Autodesk Revit",3
Digital Marketing,Systematic Trading And Technical Institute (STAT Institute),Mumbai,6 Months," 2,000 /month +  Incentives",Hiring since April 2019,40 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages",English Proficiency (Spoken),8
Social Media Marketing,Drone Destination,Delhi,3 Months," 10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","English Proficiency (Written),Instagram Marketing,Social Media Marketing",1
Business Development (Sales),Company360.in,Work From Home,3 Months," 4,000 /month",Hiring since November 2017,56 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","English Proficiency (Spoken),English Proficiency (Written)",2
Marketing,Interactive Media Private Limited,Work From Home,6 Months," 2,000 /month",Hiring since May 2019,5 opportunities posted,Certificate,,2
Social Media Marketing,Pods,Work From Home,2 Months," 25,000 /month",Hiring since December 2021,37 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,Social Media Marketing",1
Motion Graphics,Across The Globe (ATG),Work From Home,4 Months," 5,000-8,000 /month",Hiring since January 2016,2331 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Illustrator,Adobe Photoshop,Animation,Video Editing,Video Making",3
Audio Making/Editing,GetsetflyMedia,Mumbai,6 Months," 8,000-10,000 /month",Hiring since September 2021,31 opportunities posted,"Certificate,Letter of recommendation,Informal dress code",Audio Editing,5
Content Creation (Reels),Crave For Local,Work From Home,2 Months," 2,000 /month",Hiring since June 2021,29 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe Creative Suite,Audio Editing,Creative Writing,English Proficiency (Spoken),English Proficiency (Written),Instagram Marketing,Video Editing,Video Making",1
AutoCAD,Multimind Creations,Delhi,6 Months," 8,000 /month",Hiring since September 2022,6 opportunities posted,Certificate,"AutoCAD,Autodesk 123D design",2
Business Development (Sales),Gyanarth Technologies,Work From Home,3 Months," 3,000 /month +  Incentives",Hiring since June 2019,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Business Analysis,Digital Marketing,English Proficiency (Spoken),Sales and Marketing",1
Law/Legal,Barahami Legal Services,Delhi,6 Months," 3,000-10,000 /month",Hiring since February 2022,11 opportunities posted,Certificate,,6
Human Resources (HR),CollegeDekho.com,Bangalore,3 Months," 10,000 /month",Hiring since December 2021,4 opportunities posted,,,2
Academic Content Writing,ClassReady Technologies Private Limited,Work From Home,3 Months," 3,000 /month",Hiring since July 2019,18 opportunities posted,"Certificate,Letter of recommendation","Content Writing,Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",5
Digital Marketing,Citify Services (India) Private Limited,Karnal,6 Months," 2,000 /month",Hiring since June 2021,33 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer","Digital Marketing,Social Media Marketing",2
Teaching (English),INSPIRE EDUCARE,Work From Home,1 Month," 4,000 /month",Hiring since December 2020,102 opportunities posted,"Certificate,Flexible work hours","British English,English Proficiency (Spoken),English Proficiency (Written),Video Editing,Video Making",1
Graphic Design,QboxVisuals,Work From Home,3 Months," 4,000-10,000 /month",Hiring since April 2018,211 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer",Canva,5
Mobile App Development,D'n'D Rodhak,Mandi,2 Months," 4,000-8,000 /month",Hiring since November 2019,26 opportunities posted,,"Android,Flutter,iOS",1
Research (Public Policy & Economics),Medius Technologies Private Limited,Work From Home,4 Months," 8,000 /month",Hiring since June 2021,404 opportunities posted,Flexible work hours,,5
Embedded Systems,Vegg,Surat,6 Months," 15,000 /month",Hiring since November 2018,91 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer",Embedded Systems,1
Office Administration,HEXR Factory,Chennai,3 Months," 12,000-15,000 /month",Hiring since August 2021,47 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages,Job offer","Accounting,Client Relationship,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-PowerPoint,MS-Word",3
Embedded Hardware Designing,Vegg,Surat,6 Months," 12,000-14,000 /month",Hiring since November 2018,91 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer",,1
Graphic Design And Video Editing,Alphanumeric Ideas Private Limited,Work From Home,3 Months," 1,500-3,000 /month",Hiring since January 2020,262 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer",Research and Analytics,2
Unreal Development,HEXR Factory,Chennai,3 Months," 12,000 /month",Hiring since August 2021,47 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","C++ Programming,Unreal Engine",5
Unity Development,HEXR Factory,Chennai,6 Months," 7,500-12,000 /month",Hiring since August 2021,47 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","C#,Unity 3D,Unity Engine",4
Content Writing,Sane Sustain,Work From Home,3 Months," 6,000 /month",Hiring since October 2022,3 opportunities posted,"Letter of recommendation,Flexible work hours","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
Sales,Chai Shai Bar,Jabalpur,6 Months," 10,000 /month +  Incentives",Hiring since September 2022,7 opportunities posted,Flexible work hours,Sales and Marketing,10
Human Resources (HR),Chai Shai Bar,Jabalpur,6 Months," 8,000 /month",Hiring since September 2022,7 opportunities posted,Flexible work hours,MS-Office,2
Content Writing,TestprepKart,Noida,3 Months," 5,000 /month",Hiring since September 2022,15 opportunities posted,"Certificate,Letter of recommendation","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written)",2
Content Writing,Palak Mittal,Noida,3 Months," 5,000-10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written)",1
Social Media Marketing,Hooked On Marketing,Work From Home,3 Months," 1,000 /month",Hiring since May 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,English Proficiency (Written),Facebook Marketing,Instagram Marketing,Social Media Marketing",1
Fashion Content Creation (Reels),Salty,Work From Home,2 Months," 2,500-4,000 /month",Hiring since May 2022,13 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Digital Marketing,Fashion Styling,Video Editing,Video Making",5
Social Media Marketing,TestprepKart,Noida,3 Months," 5,000 /month",Hiring since September 2022,15 opportunities posted,"Certificate,Letter of recommendation","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",2
Teaching,Together And Better Foundation,Delhi,2 Months,Unpaid,Hiring since August 2022,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,10
Fashion Design,Dwear - The Designer Wear Company,Mumbai,3 Months," 10,000 /month",Hiring since October 2021,16 opportunities posted,"Certificate,Letter of recommendation",Fashion Designing,2
ReactJS Development,Cendrol Construction Contracts Private Limited,Bangalore,3 Months," 6,000 /month",Hiring since July 2022,13 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","CSS,GitHub,HTML,JavaScript,jQuery,ReactJS,REST API",2
Business Development (Sales),TestprepKart,Noida,3 Months," 5,000 /month",Hiring since September 2022,15 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),Sales and Marketing",2
Human Resources (HR),Login2Design Technologies,Jaipur,3 Months," 3,000-5,000 /month",Hiring since October 2020,55 opportunities posted,"Certificate,Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",1
Digital Marketing,Ritik  Kumar Gautam,Work From Home,1 Month," 1,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Flexible work hours,5 days a week","Digital Marketing,Email Marketing,Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",20
Business Development (Sales),Expertrons,Work From Home,3 Months," 5,000-7,000 /month",Hiring since March 2019,2203 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",4
Video Making/Editing,Paintmaster,Work From Home,1 Month," 3,000 /month",Hiring since September 2022,7 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Final Cut Pro,Video Editing,Video Making",1
Law/Legal,Deepak & Associates,Navi Mumbai,6 Months," 7,000 /month",Hiring since October 2022,2 opportunities posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written),MS-Office,MS-Word,Tally",4
Brand Management,Impact Conscious Ventures,Mumbai,6 Months," 7,000-10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Job offer","Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",2
Human Resources (HR),Asian Electrotech Industries LLP,Gurgaon,3 Months," 3,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Human Resources (HR),Material Library,Gurgaon,3 Months," 15,000 /month",Hiring since June 2022,76 opportunities posted,"Certificate,Letter of recommendation,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
Fundraising,Aastha Nishtha Foundation,Delhi,3 Months," 3,000-5,000 /month",Hiring since February 2020,22 opportunities posted,"Certificate,Informal dress code","English Proficiency (Spoken),Hindi Proficiency (Spoken)",2
Customer Support,FreJun Incorporation,Work From Home,3 Months," 15,000 /month",Hiring since March 2019,33 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer",,2
UI/UX Design,Softsensor.ai,Jaipur,6 Months," 15,000 /month",Hiring since September 2019,86 opportunities posted,"Certificate,Informal dress code,5 days a week","Adobe XD,Figma,UI & UX Design,User Interface (UI) Development,Wireframing",1
Transcription & Captioning,Blacksof,Work From Home,3 Months," 3,000 /month +  Incentives",Hiring since March 2021,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","American English,British English,Content Writing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Transcription",11
Content Writing,TechWhoop,Work From Home,1 Month," 4,000 /month",Hiring since March 2018,280 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written)",8
Python Development,Bufo Innovations Private Limited,Kolkata,2 Months," 5,000 /month",Hiring since May 2021,7 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer","Amazon Web Services (AWS),Cloud Computing,Data Analytics,Flask,Internet of Things (IoT),Power BI,Python,REST API,Tableau",1
Digital Marketing,Infinity Business Insights,Pune,3 Months," 9,000 /month",Hiring since November 2022,1 opportunity posted,"Letter of recommendation,5 days a week,Job offer","Digital Marketing,Search Engine Optimization (SEO)",2
Transcription,Blacksof,Work From Home,3 Months," 1,000 /month +  Incentives",Hiring since February 2022,29 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","American English,British English,English Proficiency (Spoken),English Proficiency (Written)",19
Business Development (Sales),Times Internet (Economic Times),Work From Home,6 Months," 7,000 /month",Hiring since August 2022,5 opportunities posted,"Certificate,5 days a week","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel",1
Caption & Content Review,Blacksof,Work From Home,3 Months," 3,000 /month +  Incentives",Hiring since September 2021,38 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","American English,British English,English Proficiency (Spoken),English Proficiency (Written)",17
Search Engine Optimization (SEO),Shivanshu Baweja,Work From Home,3 Months," 4,000 /month",Hiring since July 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,Google Analytics,Search Engine Marketing (SEM),Search Engine Optimization (SEO)",1
Motion Graphics,Sutraz Infocomm Private Limited,Kolkata,3 Months," 5,000-20,000 /month",Hiring since February 2021,67 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer",,2
Social Media Marketing,Sutraz Infocomm Private Limited,Kolkata,6 Months," 5,000-10,000 /month",Hiring since February 2021,67 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer",,1
Company Secretary (CS),STARTEASE ONLINE FILINGS PRIVATE LIMITED,Work From Home,6 Months," 10,000 /month",Hiring since August 2022,7 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),MS-Office,MS-Word",4
Fashion Design,Creencia Technologies Private Limited,Bangalore,3 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,5 days a week",,1
Digital Marketing,The Verticals,Work From Home,2 Months," 3,000-5,000 /month",Hiring since November 2019,15 opportunities posted,"Certificate,Job offer","Digital Marketing,Email Marketing,Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM)",2
Business Development,Dieatto Wellness Private Limited,Work From Home,6 Months," 7,000 /month",Hiring since October 2022,3 opportunities posted,"Certificate,Flexible work hours",,5
.NET Development,Hopefloats Technologies Private Limited (MyMobiforce),Noida,6 Months," 8,000 /month",Hiring since July 2021,17 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer",,1
Social Media Marketing,Dalnex,Pune,6 Months," 5,000-20,000 /month",Hiring since September 2021,19 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",3
Human Resources (HR),Ink In Caps,Lucknow,6 Months," 5,000-10,000 /month",Hiring since March 2018,94 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Digital Marketing,Zupppy,Work From Home,6 Months," 5,000 /month",Hiring since July 2020,15 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),Facebook Marketing,Instagram Marketing,Social Media Marketing",1
E Commerce Management,Hyper Foods Private Limited,Jaipur,3 Months," 10,000-16,000 /month",Hiring since December 2020,31 opportunities posted,"Certificate,Letter of recommendation","Adobe Illustrator,Adobe Photoshop,MS-Excel,MS-Office",10
Content Writing,Elite Techno Groups,Bangalore,3 Months," 8,000-15,000 /month",Hiring since July 2022,10 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
Operations,AFII Capital GmbH,Delhi,2 Months," 4,000-8,000 /month",Hiring since January 2022,5 opportunities posted,"Certificate,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Office",4
Social Media Marketing,CryptoXpress,Work From Home,3 Months," 20,000-30,000 /month",Hiring since September 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Canva,Digital Marketing,Search Engine Optimization (SEO),Social Media Marketing,Video Editing",1
Architecture,Bhajanka Associates,Guwahati,6 Months," 5,000-8,000 /month",Hiring since June 2021,10 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Adobe Photoshop,AutoCAD",4
Content Marketing,EdvanceSkill,Work From Home,3 Months," 5,000-10,000 /month",Hiring since April 2021,10 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",2
Digital Marketing,Esquare Lifestyle,Bangalore,2 Months," 8,000 /month",Hiring since October 2020,19 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",Search Engine Optimization (SEO),1
Data Entry,Your's Designer,Jaipur,3 Months," 3,000-5,000 /month",Hiring since November 2022,1 opportunity posted,"Letter of recommendation,Informal dress code,5 days a week",,2
Finance,ONE Business Consulting Group Private Limited,Chandigarh,6 Months," 10,000 /month",Hiring since August 2018,52 opportunities posted,"Certificate,5 days a week","Accounting,MS-Office,Tally",2
Social Media Marketing,Arkina Diamonds,Mumbai,3 Months," 4,000-5,000 /month",Hiring since November 2022,1 opportunity posted,,"Digital Marketing,Instagram Marketing,Social Media Marketing",1
Graphic Design,NX Plus,Work From Home,6 Months," 4,000 /month",Hiring since November 2022,2 opportunities posted,"Letter of recommendation,Flexible work hours","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Premiere Pro,CorelDRAW,Video Editing",1
Mobile App Development,ABNP Technogenic Private Limited,Work From Home,1 Month," 8,000-12,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours","Firebase,Flutter",1
Graphic Design,Muffin Media Private Limited,Work From Home,2 Months," 1,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,5 days a week","Adobe Photoshop,Canva,Figma",2
Graphic Design,BrandsPay,Work From Home,6 Months," 5,000-10,000 /month",Hiring since November 2020,29 opportunities posted,Certificate,"Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,Video Editing",2
Thumbnail Editing (Kannada),Bekifaayati,Work From Home,3 Months," 4,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Flexible work hours","Adobe Photoshop,Canva",1
Video Editing (Kannada),Bekifaayati,Work From Home,3 Months," 6,000-8,000 /month",Hiring since November 2022,2 opportunities posted,"Letter of recommendation,Flexible work hours","Adobe Premiere Pro,Video Editing,Video Making",1
Human Resources (HR),ElectricPe,Bangalore,3 Months," 15,000 /month",Hiring since February 2022,18 opportunities posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written)",2
Lead Generation,Styrol Inc. (Rawlplug),Faridabad,6 Months," 5,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,5 days a week,Job offer",Email Marketing,3
Graphic Design,Pine Valley Interiors,Work From Home,3 Months," 7,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Job offer","3ds Max,CAD",2
Chat & Call Support,Learnify Technologies Private Limited,Work From Home,3 Months," 10,000-13,000 /month",Hiring since March 2022,15 opportunities posted,"Certificate,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written),MS-Office",15
Web Development,Elysium Academy,Coimbatore,6 Months," 5,000 /month",Hiring since December 2021,21 opportunities posted,"Certificate,Letter of recommendation,5 days a week","Bootstrap,CSS,HTML,JavaScript,MySQL,Node.js,PHP,ReactJS",5
Human Resources (HR),Grow Mor Strategic Management Private Limited,Ahmedabad,3 Months," 5,000 /month",Hiring since March 2019,20 opportunities posted,"Certificate,Letter of recommendation",English Proficiency (Spoken),5
Social Media Marketing,Mountaineerz Leisure And Adventure Private Limited,Manali,3 Months," 6,000-12,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Optimization (SEO),Social Media Marketing",1
Marketing,Fuzia,Work From Home,6 Months," 4,000 /month",Hiring since February 2018,74 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,4
Business Development (Sales),Fuzia,Work From Home,6 Months," 4,000 /month",Hiring since February 2018,74 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,4
Operations,AtooZ Jobs,Bangalore,3 Months," 10,000-12,000 /month",Hiring since August 2022,4 opportunities posted,Informal dress code,"English Proficiency (Spoken),Hindi Proficiency (Spoken),Kannada,Malayalam",5
Web Development,Beyul Private Limited,Work From Home,6 Months," 5,000-10,000 /month",Hiring since June 2021,92 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","CSS,HTML,JavaScript,MySQL,PHP",1
Content Writing,Wolfpack,Work From Home,3 Months," 10,000 lump sum",Hiring since August 2021,13 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Blogging,Creative Writing,English Proficiency (Written),Flutter,Node.js,Python,Search Engine Optimization (SEO)",2
Digital Marketing,AAJneeti Advertising LLP,Noida,6 Months," 12,000 /month",Hiring since October 2017,71 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,Job offer","English Proficiency (Spoken),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",5
Web Development,NKGONLINE.COM,Hyderabad,3 Months," 3,000 /month",Hiring since November 2014,36 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Node.js,PHP,ReactJS,WordPress",4
PHP & ReactJS Development,Latracal Solutions Private Limited,Work From Home,2 Months," 15,000 /month",Hiring since October 2020,102 opportunities posted,"Certificate,Flexible work hours","CSS,HTML,JavaScript,PHP,ReactJS,WordPress",1
Embedded Systems,RightWatts,Delhi,3 Months," 2,000-5,000 /month",Hiring since July 2022,5 opportunities posted,Certificate,"ARM Microcontroller,C++ Programming,Circuit Design,C Programming,Embedded Systems,Internet of Things (IoT),Python",1
Web Development,Cursive Technologies Private Limited,Pune,6 Months," 10,000 /month",Hiring since December 2020,17 opportunities posted,"Certificate,Letter of recommendation,Job offer","AngularJS,Hibernate (Java),Ionic,Java,Spring MVC",4
Backend Development,One Stone,Work From Home,2 Months," 10,000-15,000 /month",Hiring since November 2019,148 opportunities posted,"Certificate,Letter of recommendation","Amazon Web Server (AWS),Django,Nginx,Python,REST API",1
Graphic Design,Mye Calorie Counts,Delhi,2 Months," 2,000 /month",Hiring since May 2020,17 opportunities posted,"Certificate,Letter of recommendation","Adobe Photoshop,CorelDRAW,UI & UX Design,Video Editing",3
Business Development (Sales),Shivam Securities,Delhi,3 Months," 10,000-15,000 /month",Hiring since March 2021,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",1
Guest Experience,KaroStartup,Agra,2 Months," 4,000 /month",Hiring since October 2022,38 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages",,5
Graphic Design,Imagify,Mumbai,6 Months," 10,000-12,000 /month",Hiring since September 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW",1
Business Development (Sales),Mswasth Tech Private Limited,Work From Home,1 Month," 1,000 lump sum +  Incentives",Hiring since September 2021,12 opportunities posted,"Certificate,Flexible work hours","English Proficiency (Spoken),Hindi Proficiency (Spoken),MS-Excel",2
Video Making/Editing,Ace Star Management Private Limited,Delhi,3 Months," 10,000 /month",Hiring since February 2022,17 opportunities posted,"Certificate,Free snacks & beverages","Adobe After Effects,Adobe Photoshop,Adobe Premiere Pro,Final Cut Pro,Video Editing,Video Making",1
Business Development (Sales),Shivam Securities,Delhi,3 Months," 10,000-15,000 /month",Hiring since March 2021,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",1
Guest Experience,KaroStartup,Agra,2 Months," 4,000 /month",Hiring since October 2022,38 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages",,5
Graphic Design,Imagify,Mumbai,6 Months," 10,000-12,000 /month",Hiring since September 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW",1
Business Development (Sales),Mswasth Tech Private Limited,Work From Home,1 Month," 1,000 lump sum +  Incentives",Hiring since September 2021,12 opportunities posted,"Certificate,Flexible work hours","English Proficiency (Spoken),Hindi Proficiency (Spoken),MS-Excel",2
Video Making/Editing,Ace Star Management Private Limited,Delhi,3 Months," 10,000 /month",Hiring since February 2022,17 opportunities posted,"Certificate,Free snacks & beverages","Adobe After Effects,Adobe Photoshop,Adobe Premiere Pro,Final Cut Pro,Video Editing,Video Making",1
Human Resources (HR),Media.net,Work From Home,3 Months," 15,000 /month",Hiring since September 2019,14 opportunities posted,"Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",3
Marketing,YOSECAL TECH LLP,Bangalore,4 Months," 4,000-6,000 /month",Hiring since April 2021,18 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,Job offer","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",1
Graphic Design,Manek Immigration Services,Mumbai,3 Months," 3,000 /month",Hiring since November 2021,21 opportunities posted,"Certificate,Letter of recommendation","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,CorelDRAW,Video Editing",1
